latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-23.988,31.156,321.9,1,1,2017-04-17,2315,Aqua,MODIS,100,6.0NRT,288.8,20.7,N
-26.041,29.414,301.8,1,1,2017-04-17,2315,Aqua,MODIS,45,6.0NRT,285.4,8.2,N
-25.621,27.223,311.7,1.2,1.1,2017-04-17,2315,Aqua,MODIS,83,6.0NRT,284.7,17.7,N
-25.928,29.4,302.5,1,1,2017-04-17,2315,Aqua,MODIS,50,6.0NRT,280.8,8.7,N
-25.857,29.175,304.4,1,1,2017-04-17,2315,Aqua,MODIS,60,6.0NRT,284.1,9.6,N
-25.491,27.1,310.6,1.6,1.2,2017-04-17,1220,Aqua,MODIS,60,6.0NRT,298.3,10.9,D
-26.214,24.64,313.4,1.1,1.1,2017-04-17,1220,Aqua,MODIS,31,6.0NRT,297.3,8.2,D
-26.042,29.393,312.9,2.2,1.4,2017-04-17,1220,Aqua,MODIS,65,6.0NRT,301.7,22.8,D
-26.241,28.397,309.6,1.8,1.3,2017-04-17,1220,Aqua,MODIS,45,6.0NRT,298.1,9.7,D
-26.046,29.379,313.6,2.2,1.4,2017-04-17,1220,Aqua,MODIS,67,6.0NRT,300.4,24,D
-30.19,30.341,308.5,2,1.4,2017-04-17,1220,Aqua,MODIS,65,6.0NRT,294.1,18.4,D
-30.725,29.848,304.7,1.8,1.3,2017-04-17,1220,Aqua,MODIS,57,6.0NRT,292.1,11.4,D
-31.295,29.554,304.9,1.7,1.3,2017-04-17,1220,Aqua,MODIS,58,6.0NRT,293.5,9.6,D
-31.292,29.571,307,1.7,1.3,2017-04-17,1220,Aqua,MODIS,63,6.0NRT,293.2,12.7,D
-31.291,29.558,308,1.7,1.3,2017-04-17,1220,Aqua,MODIS,65,6.0NRT,293.6,12.8,D
-28.395,32.338,315.1,1,1,2017-04-17,0800,Terra,MODIS,70,6.0NRT,296.6,9.7,D
-28.393,32.328,314.2,1,1,2017-04-17,0800,Terra,MODIS,68,6.0NRT,296.7,8.9,D
-26.045,29.387,310.5,1.3,1.1,2017-04-17,0800,Terra,MODIS,58,6.0NRT,291.5,11.6,D
-26.039,29.415,305.6,1.3,1.1,2017-04-17,0800,Terra,MODIS,35,6.0NRT,288.8,6.9,D
-25.86,29.168,306.3,1.4,1.2,2017-04-17,0800,Terra,MODIS,50,6.0NRT,290,7.8,D
-25.609,31.84,310.3,1.1,1,2017-04-17,0800,Terra,MODIS,60,6.0NRT,296.3,6.5,D
-25.413,31.825,317.5,1.1,1,2017-04-17,0800,Terra,MODIS,75,6.0NRT,297.8,12.4,D
-33.935,22.138,331,3.2,1.7,2017-04-28,2300,Aqua,MODIS,100,6.0NRT,297.9,154.4,N
-33.927,22.105,334.6,3.2,1.7,2017-04-28,2300,Aqua,MODIS,100,6.0NRT,297.4,183.9,N
-33.921,22.146,311,3.2,1.7,2017-04-28,2300,Aqua,MODIS,81,6.0NRT,294.5,45.6,N
-33.913,22.112,317.2,3.2,1.7,2017-04-28,2300,Aqua,MODIS,95,6.0NRT,294.3,75,N
-33.941,22.143,321.8,3.2,1.7,2017-04-28,2300,Aqua,MODIS,100,6.0NRT,297.3,91.9,N
-33.933,22.11,332.7,3.2,1.7,2017-04-28,2300,Aqua,MODIS,100,6.0NRT,298.1,165,N
-33.926,22.15,309.9,3.2,1.7,2017-04-28,2300,Aqua,MODIS,77,6.0NRT,295.5,40.2,N
-33.919,22.118,325.3,3.2,1.7,2017-04-28,2300,Aqua,MODIS,100,6.0NRT,295.1,118.8,N
-24.741,30.198,300.3,1.5,1.2,2017-04-28,2300,Aqua,MODIS,24,6.0NRT,285.6,11.3,N
-33.917,22.093,323.2,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,296.2,19.3,N
-33.916,22.104,322.7,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,295.1,19.2,N
-33.928,22.084,376.1,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,303.6,136.5,N
-33.926,22.095,385.1,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,307,174.2,N
-33.925,22.106,312.4,1,1,2017-04-28,2125,Terra,MODIS,65,6.0NRT,295.3,8.7,N
-33.923,22.117,336,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,295.3,35.5,N
-33.921,22.127,316.3,1,1,2017-04-28,2125,Terra,MODIS,93,6.0NRT,294.7,12.7,N
-33.937,22.086,314.1,1,1,2017-04-28,2125,Terra,MODIS,88,6.0NRT,298.7,9,N
-33.935,22.097,342.9,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,302.8,45.4,N
-33.934,22.108,342,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,299,44,N
-33.932,22.119,350.9,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,299.7,62.3,N
-33.93,22.13,323.2,1,1,2017-04-28,2125,Terra,MODIS,100,6.0NRT,297.7,18.9,N
-26.542,30.484,309,1.3,1.1,2017-04-28,1200,Aqua,MODIS,59,6.0NRT,296,7.6,D
-26.54,30.496,337.7,1.3,1.1,2017-04-28,1200,Aqua,MODIS,90,6.0NRT,298.3,51.1,D
-27.555,24.969,314.4,1.1,1.1,2017-04-28,1200,Aqua,MODIS,47,6.0NRT,300.8,9.3,D
-30.246,29.187,312.7,1,1,2017-04-28,1200,Aqua,MODIS,67,6.0NRT,297.8,7.7,D
-30.529,29.077,307.8,1,1,2017-04-28,1200,Aqua,MODIS,55,6.0NRT,297.1,5,D
-31.148,29.971,325.1,1.1,1,2017-04-28,1200,Aqua,MODIS,79,6.0NRT,297.5,21.1,D
-31.146,29.982,313.4,1.1,1,2017-04-28,1200,Aqua,MODIS,62,6.0NRT,296.9,9.1,D
-31.223,29.96,347.6,1.1,1,2017-04-28,1200,Aqua,MODIS,94,6.0NRT,299.2,58.3,D
-31.221,29.971,314.1,1.1,1,2017-04-28,1200,Aqua,MODIS,64,6.0NRT,297,9.6,D
-31.232,29.962,345.9,1.1,1,2017-04-28,1200,Aqua,MODIS,93,6.0NRT,298.3,54.1,D
-31.231,29.973,328.3,1.1,1,2017-04-28,1200,Aqua,MODIS,82,6.0NRT,297.1,24.7,D
-32.818,27.935,322.6,1,1,2017-04-28,1200,Aqua,MODIS,74,6.0NRT,303.1,14.1,D
-33.918,22.091,320.7,2,1.4,2017-04-28,1200,Aqua,MODIS,73,6.0NRT,302.8,33.4,D
-33.916,22.115,317.7,2,1.4,2017-04-28,1200,Aqua,MODIS,69,6.0NRT,303.1,26.5,D
-33.93,22.092,335.5,2,1.4,2017-04-28,1200,Aqua,MODIS,87,6.0NRT,300.2,77,D
-33.399,27.005,324.9,1.1,1,2017-04-28,1200,Aqua,MODIS,78,6.0NRT,305.3,16.1,D
-34.324,21.423,319.7,2.2,1.4,2017-04-28,1200,Aqua,MODIS,71,6.0NRT,302.8,28,D
-34.322,21.447,318.3,2.2,1.4,2017-04-28,1200,Aqua,MODIS,62,6.0NRT,302.5,23.3,D
-34.321,21.428,322.9,2.2,1.4,2017-04-28,1200,Aqua,MODIS,77,6.0NRT,302.5,40.4,D
-25.493,27.099,311.5,1,1,2017-04-28,1200,Aqua,MODIS,59,6.0NRT,301.2,5.4,D
-25.623,27.216,324.7,1,1,2017-04-28,1200,Aqua,MODIS,79,6.0NRT,304.1,15.3,D
-25.599,27.631,315.9,1,1,2017-04-28,1200,Aqua,MODIS,66,6.0NRT,302.3,7.4,D
-25.597,27.641,314.2,1,1,2017-04-28,1200,Aqua,MODIS,62,6.0NRT,302.6,6.1,D
-25.596,27.651,318.9,1,1,2017-04-28,1200,Aqua,MODIS,73,6.0NRT,301.4,9.7,D
-25.716,27.402,323.3,1,1,2017-04-28,1200,Aqua,MODIS,79,6.0NRT,305,13.5,D
-26.77,28.769,315.2,1.1,1,2017-04-28,1200,Aqua,MODIS,66,6.0NRT,298.9,9.7,D
-33.01,18.983,315.6,2.2,1.4,2017-04-28,0920,Terra,MODIS,45,6.0NRT,300.8,16.1,D
-31.364,29.892,308.5,1.9,1.3,2017-04-28,0740,Terra,MODIS,49,6.0NRT,294,15.6,D
-30.957,30.18,308.8,1.9,1.3,2017-04-28,0740,Terra,MODIS,66,6.0NRT,292.6,16.5,D
-30.953,30.161,306.7,1.9,1.3,2017-04-28,0740,Terra,MODIS,62,6.0NRT,292.6,13.2,D
-27.697,30.018,304.5,2.2,1.5,2017-04-28,0740,Terra,MODIS,50,6.0NRT,290.9,15.2,D
-27.7,30.023,307,2.2,1.5,2017-04-28,0740,Terra,MODIS,58,6.0NRT,290.6,21.2,D
-26.663,27.818,304.9,3.4,1.7,2017-04-28,0740,Terra,MODIS,54,6.0NRT,292,24.1,D
-29.104,31.419,309.4,1,1,2017-04-23,1140,Aqua,MODIS,68,6.0NRT,287.8,7.2,D
-29.103,31.429,311.1,1,1,2017-04-23,1140,Aqua,MODIS,70,6.0NRT,286.4,8.4,D
-33.598,18.499,322.1,1.1,1.1,2017-04-23,0905,Terra,MODIS,77,6.0NRT,304.1,15.3,D
-25.659,27.841,304.2,1,1,2017-04-24,2325,Aqua,MODIS,59,6.0NRT,284.7,8.9,N
-24.812,30.124,316,1,1,2017-04-24,2325,Aqua,MODIS,92,6.0NRT,286.7,17.3,N
-31.785,18.929,322,1.2,1.1,2017-04-24,1225,Aqua,MODIS,61,6.0NRT,311.3,8.6,D
-31.783,18.942,327,1.2,1.1,2017-04-24,1225,Aqua,MODIS,73,6.0NRT,312,16.4,D
-32.423,18.766,321.8,1.3,1.1,2017-04-24,1225,Aqua,MODIS,61,6.0NRT,311.6,10.9,D
-32.794,18.973,328.7,1.2,1.1,2017-04-24,1225,Aqua,MODIS,77,6.0NRT,312.2,18,D
-32.794,18.964,325,1.3,1.1,2017-04-24,1225,Aqua,MODIS,64,6.0NRT,312.3,11.9,D
